City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,19.75,91,25,2.92,ZA,1707774013
1,ust-nera,64.5667,143.2,-37.57,93,93,0.91,RU,1707774013
2,carnarvon,-24.8667,113.6333,24.12,82,0,8.22,AU,1707774013
3,jamestown,42.097,-79.2353,4.73,66,20,0.45,US,1707774001
4,ponta delgada,37.7333,-25.6667,18.44,88,40,8.23,PT,1707774014
5,praia da vitoria,38.7333,-27.0667,17.14,77,40,11.85,PT,1707774014
6,green river,41.5286,-109.4662,0.22,77,55,6.36,US,1707774015
7,port-aux-francais,-49.35,70.2167,7.24,91,61,13.34,TF,1707774015
8,labytnangi,66.6572,66.4183,-34.68,93,10,1.37,RU,1707774015
9,yuzhno-kurilsk,44.0306,145.8556,-5.35,80,94,4.15,RU,1707774015
10,port blair,11.6667,92.75,27.02,78,40,3.6,IN,1707773871
11,rongelap,11.1635,166.8941,26.42,79,92,9.61,MH,1707773863
12,puerto natales,-51.7236,-72.4875,14.25,44,100,10.29,CL,1707774016
13,georgetown,5.4112,100.3354,26.96,69,20,3.6,MY,1707774016
14,canada de gomez,-32.8164,-61.3949,23.36,90,90,6.43,AR,1707774016
15,blackmans bay,-43.0167,147.3167,16.52,84,79,0.45,AU,1707774017
16,puerto ayora,-0.7393,-90.3518,28.08,90,42,1.79,EC,1707773873
17,bulgan,48.8125,103.5347,-16.33,98,99,0.68,MN,1707774017
18,waitangi,-43.9535,-176.5597,17.12,85,89,2.68,NZ,1707774017
19,tiksi,71.6872,128.8694,-32.85,100,100,0.86,RU,1707774018
20,bethel,41.3712,-73.414,5.98,67,0,3.6,US,1707774018
21,enshi,30.3,109.4833,8.42,87,17,0.21,CN,1707774018
22,sanctuary point,-35.1114,150.629,25.18,50,0,1.58,AU,1707774018
23,alta,69.9689,23.2717,-9.41,73,0,4.63,NO,1707774018
24,bilibino,68.0546,166.4372,-37.5,99,97,1.0,RU,1707774019
25,salekhard,66.53,66.6019,-36.55,98,9,1.24,RU,1707774019
26,alamos,27.0167,-108.9333,24.69,10,0,2.36,MX,1707774019
